commentId,videoId,textDisplay,publishedAt,authorDisplayName,authorProfileImageUrl,likeCount
Ugw1wzN6Zg4qK35jV554AaABAg,1nJgupaUPEQ,Your video material is actually way better than the instructions provided in the academy itself. The guys at the academy would be crazy not to approach you to incorporate your material into their platform.,2021-03-01,EONRaider,https://yt3.ggpht.com/ytc/AKedOLSsUuHU6Zg9gWUdy05ZQVs-kPbUE0nUFTCV5F6O=s48-c-k-c0x00ffffff-no-rj,64
UgwPzcra7sS2NEeUzm14AaABAg,2nXOxLpeu80,"Injection, Penetration, Testing... 
Sounds like 2020 & 2021 Covid related stuff 😂 😂 😂 😂

Thanks FCC",2021-01-19,Kennito De Van Gavani,https://yt3.ggpht.com/ytc/AKedOLS1WaXKXO5kEM3AFyeA7hiEHsGOJ575mmDGGx7Ixg=s48-c-k-c0x00ffffff-no-rj,93
UgxOYBPynvRQ3LQ_XSl4AaABAg,3Axp3VDnf0I,"Very clear video. I understand that SQL injection is probably much more complex, but it was perfect for someone who heard about SQL injection 10 mins ago.",2021-02-02,Carter ash,https://yt3.ggpht.com/ytc/AKedOLTsI4Yakz1jCS7IVJfFJLxjgfprDs30zbxmovI0Hw=s48-c-k-c0x00ffffff-no-rj,38
Uggrcmlqa-WxbHgCoAEC,ciNHn38EyRc,"Imagine naming your child ""LIKE'%' UNION SELECT * FROM TABLEBASE"" so that when they register its name, you'll get the information on all of the country's database",2016-11-02,Travis Petit,https://yt3.ggpht.com/ytc/AKedOLRhh99udj-26FUKjRSrGNQU-53h6OD5vb5oO_jerA=s48-c-k-c0x00ffffff-no-rj,5521
UgwrPFwWoM7EK-X1DmR4AaABAg,cx6Xs3F_1Uc,I have started work at Amazon Web Services. Will you be keen to see a day in the life of an AWS cybersecurity professional? :),2021-05-02,Loi Liang Yang,https://yt3.ggpht.com/ytc/AKedOLRGFZs8TLihWv8W9-uDwCKD9d3vWnWGDX58R7qNHg4=s48-c-k-c0x00ffffff-no-rj,1238
UgzI6Li6F_bdqxbd5cl4AaABAg,FHCTfA9cCXs,What do you suggest if you've already been attacked with a UNION injection?,2021-02-10,sorandom nc,https://yt3.ggpht.com/ytc/AKedOLRaTMu63AdkdqBszYaRTz0Jd8GhHSGaYQaS7IOPe2Y=s48-c-k-c0x00ffffff-no-rj,8
Ugx24dsLsHxi6-ZuFEd4AaABAg,fiq59DuhY68,"feeling lucky to find you even before you hit your first 100 subscribers.
Wishing you for 1M subscribers.",2020-08-30,che3tah,https://yt3.ggpht.com/ytc/AKedOLS5cj5-FURt4H5Jl2SwJ8DzfTtXVH-KZYaYeW2Z=s48-c-k-c0x00ffffff-no-rj,23
UgwyJVQQoJSN_fbIxqJ4AaABAg,FwIUkAwKzG8,Music gave me anxiety,2018-03-08,Arshila Memon,https://yt3.ggpht.com/ytc/AKedOLQfXfP0bZtYiYw_jjb_7CDM5TpObNqMLgfScQ=s48-c-k-c0x00ffffff-no-rj,70
Ugwcux3mSqSWPDemBNZ4AaABAg,iD84waJKYh0,"======
Menu:
======
SQL Injection Demo: 0:00
Daniel's top 5 hacking tools: 1:40
SQL Injection: sqlmap and DVWA: 2:31
Don't get shiny bracelets: 3:32
Start attack: 5:44
SQL tables: 8:00
SQL dump: 9:35
SQL Hashes: 9:45
DVWA explained: 12:40
sqlmap command: 15:27
url: 16:06
sqlmap uses the website: 17:34
Change URL to handle special characters: 19:21
cookies: 20:04
How to find cookies manually: 21:41
sqlmap switches dbs: 23:55
sqlmap tables: 26:30 
sqlmap columns: 27:31
sqlmap dump: 28:29
Login as a user: 29:45
Why is it called sql injection: 30:41
Can you write to the database: 32:45
What do you want to see? 34:48
How to build the same network: 36:23
It is still used in the real world: 37:31
How to stop this: 38:30

========================
Download software and VMs:
========================
WEBSPLOIT2018: https://www.vulnhub.com/entry/websploit2018-1,253/
Kali Linux: https://www.kali.org/downloads/

================
Links:
================
ITProTV Free Training: http://davidbombal.wiki/freeitprotv
My ITProTV affiliate link: http://davidbombal.wiki/itprotv

====================
Connect with Daniel:
====================
LinkedIn: https://www.linkedin.com/in/daniellowrie
Blog: https://blog.itpro.tv/author/daniellowrie/

================
Connect with me:
================
Discord: https://discord.com/invite/usKSyzb
Twitter: https://www.twitter.com/davidbombal 
Instagram: https://www.instagram.com/davidbombal 
LinkedIn: https://www.linkedin.com/in/davidbombal 
Facebook: https://www.facebook.com/davidbombal.co 
TikTok: http://tiktok.com/@davidbombal
YouTube: https://www.youtube.com/davidbombal 


Please note that links listed may be affiliate links and provide me with a small percentage/kickback should you use them to purchase any of the items listed or recommended. Thank you for supporting me and this channel!",2021-04-30,David Bombal,https://yt3.ggpht.com/dAQboxu0NGYduhzG7F-J3ggKp0GjDQg5cQ9CSrcMlO5UbcNgZ0IaDJuKNnFQkAn9NfEEjY9O=s48-c-k-c0x00ffffff-no-rj,31
UgzdZEJSiho--2ASq494AaABAg,J6v_W-LFK1c,thanks i have hack my school websites lol,2019-01-09,的酸民很厉害,https://yt3.ggpht.com/ytc/AKedOLRNFbHd1TmZ0x7H6Aqx3V8UDGEe_SEx3jrVaw=s48-c-k-c0x00ffffff-no-rj,52
