videoid,title,channel_title,thumbnail
1nJgupaUPEQ,SQL Injection | Complete Guide,Rana Khalil,https://i.ytimg.com/vi/1nJgupaUPEQ/hqdefault.jpg
2nXOxLpeu80,Basics of SQL Injection - Penetration Testing for Ethical Hackers,freeCodeCamp.org,https://i.ytimg.com/vi/2nXOxLpeu80/hqdefault.jpg
3Axp3VDnf0I,What is SQL Injection? | SQL Injection Tutorial | Cybersecurity Training | Edureka,edureka!,https://i.ytimg.com/vi/3Axp3VDnf0I/hqdefault.jpg
FHCTfA9cCXs,SQL Injection Attacks - Explained in 5 Minutes,Paul Browning,https://i.ytimg.com/vi/FHCTfA9cCXs/hqdefault.jpg
FwIUkAwKzG8,SQL Injection - Simply Explained,Christian Linares,https://i.ytimg.com/vi/FwIUkAwKzG8/hqdefault.jpg
J6v_W-LFK1c,SQL Injection Demo,austin881bsu,https://i.ytimg.com/vi/J6v_W-LFK1c/hqdefault.jpg
PrGHUj8sKYw,#شرح | ثغرة SQL injection,Hacking Minions,https://i.ytimg.com/vi/PrGHUj8sKYw/hqdefault.jpg
WFFQw01EYHM,SQL Injection Attack Tutorial (2019),HackHappy,https://i.ytimg.com/vi/WFFQw01EYHM/hqdefault.jpg
_jKylhJtPmI,Hacking Websites with SQL Injection - Computerphile,Computerphile,https://i.ytimg.com/vi/_jKylhJtPmI/hqdefault.jpg
ciNHn38EyRc,Running an SQL Injection Attack - Computerphile,Computerphile,https://i.ytimg.com/vi/ciNHn38EyRc/hqdefault.jpg
cx6Xs3F_1Uc,SQL Injection For Beginners,Loi Liang Yang,https://i.ytimg.com/vi/cx6Xs3F_1Uc/hqdefault.jpg
fiq59DuhY68,SQL Injections: The Free 2021 Full Course,Cybr,https://i.ytimg.com/vi/fiq59DuhY68/hqdefault.jpg
iD84waJKYh0,SQL Injection,David Bombal,https://i.ytimg.com/vi/iD84waJKYh0/hqdefault.jpg
lkOBvy4bRr4,Advanced SQL Injection Tutorial,Loi Liang Yang,https://i.ytimg.com/vi/lkOBvy4bRr4/hqdefault.jpg
sj06jvFyvq0,[ASP.NET] SQL Injection 攻擊範例,吉掰米,https://i.ytimg.com/vi/sj06jvFyvq0/hqdefault.jpg
uSw0IoSr3Hk,What is SQL Injection Attack,kudvenkat,https://i.ytimg.com/vi/uSw0IoSr3Hk/hqdefault.jpg
wcaiKgQU6VE,What Is SQL Injection?,Hacksplaining,https://i.ytimg.com/vi/wcaiKgQU6VE/hqdefault.jpg
xhxCUCRb09o,SQL Injection Tutorial For Beginners,Loi Liang Yang,https://i.ytimg.com/vi/xhxCUCRb09o/hqdefault.jpg
